LA 2567 	I	S	LAN 	LA  	LAN                           	19/04/2011	11:10	11:10	LPB 	LA PAZ                        	VVI 	SANTA CRUZ                    	     	39-54	LLAMADA             	22   	0
LA 2033 	N	S	LAN 	LA  	LAN                           	19/04/2011	11:15	11:15	CUZ 	CUSCO                         	    	                              	     	39-54	                    	     	0
W4 139  	N	S	LCB 	W4  	LC BUSRE                      	19/04/2011	11:20	11:20	AYP 	AYACUCHO                      	    	                              	     	37-37	                    	     	P
LA 2772 	I	L	LAN 	LA  	LAN                           	19/04/2011	11:20	11:09	BSB 	BRASILIA                      	    	                              	     	  -  	CONFIRMADO          	     	0
LA 2024 	N	L	LAN 	LA  	LAN                           	19/04/2011	11:20	10:55	CUZ 	CUSCO                         	    	                              	     	  -  	CONFIRMADO          	     	0
LA 2668 	I	L	LAN 	LA  	LAN                           	19/04/2011	11:25	11:10	MVD 	MONTEVIDEO                    	    	                              	     	  -  	CONFIRMADO          	     	0
2I 3115 	N	S	STP 	2I  	STAR PERU                     	19/04/2011	11:30	11:30	IQT 	IQUITOS                       	TPP 	TARAPOTO                      	     	33-36	                    	5    	
LA 636  	I	L	LAN 	LA  	LAN                           	19/04/2011	11:30	11:16	SCL 	SANTIAGO                      	    	                              	     	  -  	CONFIRMADO          	     	0
LA 2591 	I	L	LAN 	LA  	LAN                           	19/04/2011	11:35	11:10	UIO 	QUITO                         	    	                              	     	  -  	CONFIRMADO          	     	0
JJ 8066 	I	L	TAM 	JJ  	TAM                           	19/04/2011	11:40	     	    	SAO PAULO                     	    	                              	     	  -  	                    	     	0
W4 1352 	N	L	LCB 	W4  	LC BUSRE                      	19/04/2011	11:45	     	ANS 	ANDAHUAYLA                    	    	                              	     	  -  	                    	     	0
LA 2124 	N	L	LAN 	LA  	LAN                           	19/04/2011	11:45	     	AQP 	AREQUIPA                      	    	                              	     	  -  	                    	     	0
LA 2604 	I	L	LAN 	LA  	LAN                           	19/04/2011	11:45	     	    	B.AIRES                       	    	                              	     	  -  	                    	     	0
TA 011  	N	S	TPU 	TA  	TACA                          	19/04/2011	11:45	11:45	CUZ 	CUSCO                         	    	                              	     	7 -22	                    	     	0
LA 2071 	N	S	LAN 	LA  	LAN                           	19/04/2011	11:45	11:45	PEM 	P.MALDONAD                    	CUZ 	CUSCO                         	     	39-54	                    	     	0
P9 234  	N	S	PAL 	P9  	PERUVIAN AIRLINES             	19/04/2011	12:00	12:00	AQP 	AREQUIPA                      	    	                              	     	1 -5 	                    	2    	
LA 2296 	N	S	LAN 	LA  	LAN                           	19/04/2011	12:00	12:00	CJA 	CAJAMARCA                     	    	                              	     	39-54	                    	     	0
LA 2026 	N	L	LAN 	LA  	LAN                           	19/04/2011	12:00	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	0
P9 270  	N	S	PAL 	P9  	PERUVIAN AIRLINES             	19/04/2011	12:00	12:00	TCQ 	TACNA                         	    	                              	     	1 -5 	                    	     	
2I 1118 	N	L	STP 	2I  	STAR PERU                     	19/04/2011	12:15	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	
LA 2141 	N	S	LAN 	LA  	LAN                           	19/04/2011	12:20	     	AQP 	AREQUIPA                      	    	                              	     	  -  	                    	     	0
LA 2037 	N	S	LAN 	LA  	LAN                           	19/04/2011	12:20	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	0
LA 2022 	N	L	LAN 	LA  	LAN                           	19/04/2011	12:25	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	0
P9 217  	N	L	PAL 	P9  	PERUVIAN AIRLINES             	19/04/2011	12:25	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	
LA 4641 	I	S	LAN 	LA  	LAN                           	19/04/2011	12:35	     	    	B.AIRES                       	    	                              	     	  -  	                    	     	0
LA 2604 	I	S	LAN 	LA  	LAN                           	19/04/2011	12:40	     	LAX 	L.ANGELES                     	    	                              	     	  -  	                    	     	0
LA 2510 	I	S	LAN 	LA  	LAN                           	19/04/2011	12:40	     	MIA 	MIAMI                         	    	                              	     	  -  	                    	     	0
LA 2594 	I	S	LAN 	LA  	LAN                           	19/04/2011	12:40	     	PUJ 	PUNTA CANA                    	    	                              	     	  -  	                    	     	0
JJ 8067 	I	S	TAM 	JJ  	TAM                           	19/04/2011	12:40	     	    	SAO PAULO                     	    	                              	     	  -  	                    	     	0
LA 2582 	I	S	LAN 	LA  	LAN                           	19/04/2011	12:45	     	BOG 	BOGOTA                        	    	                              	     	  -  	                    	     	0
